Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
101.433865, 0.315560, 0.283266, -0.000904, -0.000947, 0.000000, -57.164734
101.435866, 0.315560, 0.283266, -0.000943, -0.000946, 0.000000, -56.820368
101.437867, 0.315564, 0.283262, 0.000868, -0.000946, 1.377463, -57.164734
101.439868, 0.315564, 0.283262, 0.000946, -0.000946, 0.000000, -57.164734
101.441869, 0.315560, 0.283258, -0.000943, -0.000943, 0.000000, -57.164734
101.443870, 0.315560, 0.283258, -0.000946, -0.000946, 0.000000, -57.164734
101.445871, 0.315564, 0.283258, 0.000935, -0.000812, 0.000000, -56.820368
101.447871, 0.315560, 0.283254, 0.000074, -0.000945, 0.688732, -57.164734
101.449872, 0.315560, 0.283254, -0.000946, -0.000265, 1.377463, -57.164734
101.451873, 0.315564, 0.283251, 0.000798, -0.000909, 0.000000, -57.164734
101.453874, 0.315564, 0.283251, 0.000945, -0.000946, 0.000000, -57.164734
101.455875, 0.315560, 0.283251, -0.000852, -0.000021, 0.000000, -57.164734
101.457876, 0.315560, 0.283247, -0.000265, -0.000907, 1.033098, -57.164734
101.459876, 0.315564, 0.283247, 0.000939, -0.000265, 1.377463, -57.164734
101.461878, 0.315564, 0.283247, 0.000946, -0.000039, 0.688732, -57.164734
101.463878, 0.315560, 0.283247, -0.000867, -0.000806, 0.000000, -57.164734
101.465878, 0.315560, 0.283243, -0.000946, -0.000946, 0.000000, -57.164734
101.467879, 0.315564, 0.283243, 0.000945, -0.000140, 0.000000, -57.164734
101.469880, 0.315560, 0.283239, -0.000867, -0.000926, 0.000000, -57.164734
101.471881, 0.315560, 0.283239, -0.000940, -0.000943, 1.377463, -57.164734
101.473882, 0.315560, 0.283239, -0.000074, -0.000265, 1.377463, -57.164734
101.475882, 0.315560, 0.283235, -0.000000, -0.000937, 0.000000, -57.509099
101.477883, 0.315560, 0.283235, 0.000000, -0.000946, 1.377463, -57.164734
101.479883, 0.315560, 0.283235, 0.000682, -0.000702, 1.377463, -57.164734
101.481884, 0.315564, 0.283232, 0.000943, -0.000946, 0.000000, -57.164734
101.483884, 0.315564, 0.283232, 0.000140, -0.000265, 1.377463, -57.164734
101.485885, 0.315560, 0.283228, -0.000925, -0.000944, 0.000000, -57.164734
101.487886, 0.315560, 0.283228, -0.000140, -0.000500, 0.000000, -57.164734
101.489887, 0.315564, 0.283224, 0.000500, -0.000938, 0.000000, -57.164734
101.491885, 0.315560, 0.283224, 0.000039, -0.000946, 0.688732, -57.164734
101.493888, 0.315560, 0.283220, -0.000940, -0.000946, 1.033098, -57.509099
101.495888, 0.315564, 0.283220, 0.000833, -0.001392, 1.377463, -57.164734
101.497889, 0.315564, 0.283216, 0.000946, -0.000954, 0.000000, -57.509099
101.499889, 0.315560, 0.283216, -0.000934, -0.001628, 0.000000, -57.164734
101.501890, 0.315560, 0.283213, 0.000608, -0.001392, 0.000000, -56.820368
101.503891, 0.315564, 0.283209, 0.000920, -0.001047, 1.377463, -56.820368
101.505891, 0.315564, 0.283209, 0.000264, -0.001628, 0.344366, -56.820368
101.507892, 0.315560, 0.283205, -0.000924, -0.000984, 0.000000, -56.820368
101.509892, 0.315564, 0.283201, 0.000905, -0.001408, 0.000000, -57.164734
101.511893, 0.315564, 0.283201, 0.000943, -0.001631, 1.033098, -57.164734
101.513894, 0.315560, 0.283198, -0.000608, -0.000984, 1.377463, -57.164734
101.515896, 0.315564, 0.283194, -0.000037, -0.001081, 1.377463, -57.164734
101.517895, 0.315560, 0.283190, -0.000451, -0.001854, 1.377463, -57.164734
101.519896, 0.315564, 0.283186, 0.000735, -0.001873, 1.033098, -57.164734
101.521896, 0.315564, 0.283186, 0.000930, -0.001019, 0.000000, -57.164734
101.523897, 0.315564, 0.283182, 0.000946, -0.001206, 0.000000, -57.164734
101.525898, 0.315560, 0.283179, -0.000945, -0.001873, 1.377463, -56.820368
101.527899, 0.315560, 0.283175, -0.000500, -0.001859, 0.000000, -56.820368
101.529899, 0.315564, 0.283171, 0.000937, -0.001839, 0.000000, -57.164734
101.531900, 0.315560, 0.283167, -0.000372, -0.001839, 0.688732, -57.164734
101.533901, 0.315560, 0.283167, -0.000943, -0.001667, 1.377463, -57.164734
101.535901, 0.315564, 0.283163, 0.000901, -0.001825, 0.000000, -57.164734
101.537902, 0.315560, 0.283156, 0.000073, -0.001902, 1.377463, -57.164734
101.539903, 0.315560, 0.283152, -0.000440, -0.002019, 0.000000, -57.164734
101.541903, 0.315560, 0.283152, -0.000262, -0.001893, 0.688732, -57.164734
101.543904, 0.315560, 0.283145, 0.000038, -0.001893, 1.377463, -57.164734
101.545905, 0.315560, 0.283141, -0.000925, -0.002012, 1.033098, -57.164734
101.547905, 0.315560, 0.283137, -0.000499, -0.002407, 0.000000, -57.164734
101.549906, 0.315564, 0.283133, 0.000932, -0.002608, 0.000000, -57.164734
101.551907, 0.315560, 0.283126, 0.000006, -0.002708, 0.688732, -57.509099
101.553907, 0.315560, 0.283122, 0.000733, -0.002015, 1.377463, -57.164734
101.555908, 0.315564, 0.283118, 0.000929, -0.002768, 0.000000, -56.820368
101.557909, 0.315564, 0.283110, 0.000264, -0.003284, 0.688732, -57.164734
101.559909, 0.315560, 0.283107, -0.000934, -0.002844, 0.000000, -56.820368
101.561910, 0.315560, 0.283099, -0.000021, -0.003285, 0.000000, -56.820368
101.563910, 0.315560, 0.283092, -0.000002, -0.003032, 0.000000, -57.164734
101.565912, 0.315560, 0.283088, 0.000000, -0.003104, 1.033098, -57.164734
101.567913, 0.315564, 0.283080, 0.000872, -0.003674, 1.377463, -57.509099
101.569912, 0.315564, 0.283073, 0.000500, -0.003645, 1.377463, -57.164734
101.571914, 0.315560, 0.283065, -0.000940, -0.003529, 1.377463, -56.820368
101.573914, 0.315560, 0.283057, -0.000054, -0.003783, 1.377463, -57.164734
101.575916, 0.315564, 0.283050, 0.000940, -0.003785, 1.377463, -56.820368
101.577916, 0.315560, 0.283042, -0.000435, -0.003785, 0.000000, -57.164734
101.579916, 0.315560, 0.283035, -0.000140, -0.003785, 0.000000, -57.509099
101.581917, 0.315560, 0.283027, 0.000795, -0.003910, 1.377463, -57.164734
101.583918, 0.315564, 0.283020, 0.000945, -0.004041, 1.377463, -57.509099
101.585917, 0.315560, 0.283008, -0.000786, -0.003930, 0.000000, -57.164734
101.587918, 0.315560, 0.283001, -0.000945, -0.003920, 1.377463, -57.164734
101.589919, 0.315564, 0.282993, 0.000939, -0.003862, 0.000000, -57.164734
101.591920, 0.315564, 0.282986, 0.000946, -0.004269, 0.000000, -57.164734
101.593920, 0.315560, 0.282978, -0.000867, -0.004042, 0.000000, -57.164734
101.595921, 0.315564, 0.282970, 0.000852, -0.004175, 1.377463, -56.820368
101.597921, 0.315564, 0.282955, 0.000946, -0.003867, 1.377463, -56.820368
101.599922, 0.315564, 0.282952, 0.000264, -0.003922, 0.000000, -57.164734
101.601923, 0.315560, 0.282944, -0.000939, -0.003862, 1.377463, -57.164734
101.603922, 0.315560, 0.282936, -0.000265, -0.004269, 0.000000, -57.164734
101.605923, 0.315564, 0.282929, 0.000264, -0.004042, 1.377463, -57.164734
101.607923, 0.315560, 0.282921, -0.000661, -0.004269, 0.000000, -57.164734
101.609924, 0.315560, 0.282914, -0.000945, -0.004042, 0.000000, -57.509099
101.611924, 0.315564, 0.282906, 0.000920, -0.004041, 0.000000, -57.164734
101.613924, 0.315560, 0.282895, 0.000074, -0.003911, 1.377463, -57.509099
101.615926, 0.315560, 0.282887, -0.000946, -0.004303, 0.000000, -57.164734
101.617926, 0.315564, 0.282876, 0.000935, -0.003858, 0.000000, -57.164734
101.619927, 0.315564, 0.282872, 0.000945, -0.003857, 0.344366, -56.820368
101.621927, 0.315564, 0.282864, 0.000074, -0.003786, 1.033098, -56.820368
101.623928, 0.315564, 0.282857, 0.000000, -0.003785, 1.377463, -57.509099
101.625929, 0.315564, 0.282849, 0.000000, -0.003785, 1.377463, -57.164734
101.627929, 0.315564, 0.282838, -0.000682, -0.004269, 1.377463, -57.164734
101.629930, 0.315560, 0.282834, -0.000925, -0.004041, 1.033098, -57.509099
101.631931, 0.315564, 0.282827, -0.000011, -0.003911, 0.000000, -57.164734
101.633930, 0.315564, 0.282819, 0.000244, -0.004041, 0.000000, -57.164734
101.635931, 0.315560, 0.282811, -0.000945, -0.003805, 0.000000, -57.509099
101.637932, 0.315564, 0.282796, 0.000886, -0.004303, 0.000000, -56.820368
101.639932, 0.315564, 0.282793, 0.000942, -0.003986, 1.377463, -57.164734
