time,sys_time,session_id,pos_x,pos_y,vel_x,vel_y,fcmd_x,fcmd_y,fs_x,fs_y
1.982492,1765348499.037082,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.002519,1765348499.057108,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
2.022649,1765348499.077325,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.042537,1765348499.097121,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.062526,1765348499.117090,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.082552,1765348499.137128,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.102565,1765348499.157147,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.122585,1765348499.177175,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.142608,1765348499.197209,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.162633,1765348499.217243,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.182640,1765348499.237252,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.202647,1765348499.257257,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.222643,1765348499.277247,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.242590,1765348499.297170,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.262710,1765348499.317374,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
2.282622,1765348499.337208,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.302589,1765348499.357158,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.322603,1765348499.377179,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.342600,1765348499.397175,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.362753,1765348499.417380,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.382719,1765348499.437379,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.402797,1765348499.457446,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.422803,1765348499.477438,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
2.442795,1765348499.497422,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,-0.688732,-0.344366
2.462782,1765348499.517408,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.482826,1765348499.537474,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.502697,1765348499.557308,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.522807,1765348499.577432,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.542798,1765348499.597415,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.562710,1765348499.617295,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.582744,1765348499.637332,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
2.602776,1765348499.657376,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
2.622789,1765348499.677397,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.642785,1765348499.697387,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.662718,1765348499.717293,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.682799,1765348499.737399,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.702792,1765348499.757391,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
2.722832,1765348499.777445,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.742791,1765348499.797421,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.762918,1765348499.817568,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.782928,1765348499.837576,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.802886,1765348499.857512,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.822907,1765348499.877539,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.842914,1765348499.897546,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,-0.688732,0.000000
2.862848,1765348499.917440,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.882848,1765348499.937461,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.902849,1765348499.957455,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.922944,1765348499.977569,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.942925,1765348499.997535,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.962913,1765348500.017517,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
2.982909,1765348500.037511,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.002926,1765348500.057533,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.023021,1765348500.077700,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.042883,1765348500.097461,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.062875,1765348500.117443,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.082921,1765348500.137505,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.102942,1765348500.157534,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.122984,1765348500.177589,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.143005,1765348500.197623,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.163018,1765348500.217654,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,-0.344366,0.000000
3.182958,1765348500.237544,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.203073,1765348500.257723,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.223086,1765348500.277736,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.242960,1765348500.297532,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.262957,1765348500.317533,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
3.282961,1765348500.337530,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.302980,1765348500.357559,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.323004,1765348500.377595,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.343027,1765348500.397627,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.363053,1765348500.417664,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.383075,1765348500.437693,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.403097,1765348500.457722,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.423105,1765348500.477731,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
3.443104,1765348500.497722,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.463015,1765348500.517583,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.483048,1765348500.537633,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.503100,1765348500.557709,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
3.523123,1765348500.577740,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.543061,1765348500.597642,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.563053,1765348500.617627,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.583049,1765348500.637619,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.603046,1765348500.657614,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.623058,1765348500.677632,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.643094,1765348500.697681,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.663107,1765348500.717705,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.683149,1765348500.737769,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
3.703175,1765348500.757802,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.723181,1765348500.777805,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
3.743153,1765348500.797758,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.763172,1765348500.817785,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.783189,1765348500.837807,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.803208,1765348500.857833,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.823149,1765348500.877753,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.843161,1765348500.897769,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.863245,1765348500.917877,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.883254,1765348500.937889,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.903206,1765348500.957807,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
3.923244,1765348500.977861,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.943262,1765348500.997886,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.963273,1765348501.017898,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
3.983282,1765348501.037925,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.003240,1765348501.057837,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
4.023200,1765348501.077773,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.043286,1765348501.097912,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.063211,1765348501.117785,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.083253,1765348501.137852,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.103297,1765348501.157911,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,-0.344366,-0.344366
4.123315,1765348501.177938,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
4.143337,1765348501.197965,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.163351,1765348501.217984,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.688732
4.183266,1765348501.237864,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.203327,1765348501.257927,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.223362,1765348501.277952,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.243549,1765348501.298242,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
4.263361,1765348501.317935,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.283367,1765348501.337948,1765348491,0.000537,0.000174,0.000000,-0.000935,0.000000,0.000000,0.000000,0.000000
4.303418,1765348501.358021,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.323464,1765348501.378081,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.343470,1765348501.398098,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.363508,1765348501.418147,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.383509,1765348501.438146,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.403526,1765348501.458163,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.423523,1765348501.478152,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.443542,1765348501.498178,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.463547,1765348501.518188,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.483535,1765348501.538161,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.503513,1765348501.558151,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.523568,1765348501.578204,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.543494,1765348501.598086,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.563451,1765348501.618016,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
4.583462,1765348501.638035,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.603469,1765348501.658045,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.623488,1765348501.678067,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.643499,1765348501.698081,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.663510,1765348501.718088,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.683515,1765348501.738093,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,-0.344366
4.703592,1765348501.758214,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.344366
4.723549,1765348501.778139,1765348491,0.000537,0.000174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
